Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugnu,India,India,Civil,Earth Observation,GEO,3,10/12/11,Satish Dhawan Space Centre,The mission goal is to make a nanosatellite at IIT Kanpur that would serve the following applications: 1. Micro Imaging System; 2. GPS receiver for locating the position of satellite in the orbit; 3. MEMS based IMU (Inertial Measurement Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRMSat (Sri Ramaswamy Memorial Satellite),India,India,Civil,Technology Development,GEO,11,10/12/11,Satish Dhawan Space Centre,To build a nanosatellite with a mass less than 10kg; to be launched by PSLV and to estimate the amount for atmospheric greenhouse gases; to provide hands on experience to the student and the faculty of SRM University in building small satellite; to develop a nanosatellite bus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megha-Tropiques,India,India/France,Government,Earth Observation,LEO,"1,000",10/12/11,Satish Dhawan Space Centre,The data collected by the satellite will allow improvement in knowledge on the water cycle contribution to the climate dynamic in the tropical atmosphere and our understanding of the processes linked to the tropical convection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViaSat-1,USA,USA,Commercial,Communications,GEO,"6,740",10/19/11,Baikonur Cosmodrome,"Provide much faster Internet service to more than 1 million customers outside the reach of cable or DSL services at similar prices to existing satellite broadband; also using capacity to power in-flight Internet service by JetBlue, as well as defense and other uses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Galileo IOV-1 FM2 (0102, PRN E12)",NR,ESA,Commerical,Navigation/Global Positioning,LEO,700,10/21/11,Guiana Space Center,Operational nucleus of the full 30-satellite constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Galileo IOV-1 PFM (0101, PRN E11)",NR,ESA,Commercial,Navigation/Global Positioning,LEO,700,10/21/11,Guiana Space Center,Operational nucleus of the full 30-satellite constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),USA,USA,Civil,Technology Development,LEO,2,10/28/11,Vandenberg AFB,M-Cubed is as a technology demonstrator platform for high resolution imaging technology intended for use in a future Nasa mission; E1P-U2 mission is to detect the Van Allen radiation belts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS]),USA,USA,Government,Earth Observation,LEO,"2,128",10/28/11,Vandenberg AFB,Continues key data records that are critical for climate change science.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 743 (Glonass 44-2, Cosmos 2476)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,415",11/4/11,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 744 (Glonass 44-3, Cosmos 2477)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,415",11/4/11,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 745 (Glonass 44-1, Cosmos 2475)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,GEO,"1,415",11/4/11,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuangxin 1-3 (Innovation 1-3),China,China,Government,Earth Observation,GEO,100,11/20/11,Jiuquan Satellite Launch Center,Collect and relay hydrological and meteorological data and data for disaster relief.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiyan 4 (SY4, Experimental Satellite 4)",China,China,Government,Earth Observation,GEO,300,11/20/11,Jiuquan Satellite Launch Center,Study the environment and test new space technologies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-7,China,China,Commercial,Communications,MEO,"3,813",11/25/11,Baikonur Cosmodrome,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou IGSO-5 (Compass G-10),China,China,Military/Government,Navigation/Global Positioning,LEO,"4,200",12/1/11,Xichang Satellite Launch Center,Part of Beidou constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luch 5A,Russia,Russia,Government,Communications,GEO,950,12/11/11,Baikonur Cosmodrome,"Seven S-band and Ku-band channels. The 1,148-kg spacecraft will provide TV and data communications links between the International Space Station and the ground, as well as orbital control of spacecraft in low Earth orbit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IGS-7A (Information Gathering Satellite 7A, IGS Radar 3)",Japan,Japan,Government,Earth Observation,LEO,"1,600",12/12/11,Tanegashima Space Center,Radar reconnaissance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSOT (Sistema Satelital para la Observación de la Tierra),Chile,Chile,Government/Military,Earth Observation,GEO,117,12/17/11,Guiana Space Center,"Extremely high-quality satellite images with applications such as mapping, agriculture, town planning, and natural resource, risk and disaster management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-E12 (ELectronic Intelligence by SAtellite),France,France,Military,Earth Observation,GEO,120,12/17/11,Guiana Space Center,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-E24 (ELectronic Intelligence by SAtellite),France,France,Military,Earth Observation,GEO,120,12/17/11,Guiana Space Center,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-W11 (ELectronic Intelligence by SAtellite),France,France,Military,Earth Observation,LEO,120,12/17/11,Guiana Space Center,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELISA-W23 (ELectronic Intelligence by SAtellite),France,France,Military,Earth Observation,LEO,120,12/17/11,Guiana Space Center,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades HR1A,France,France/Italy,Government,Earth Observation,LEO,"1,000",12/17/11,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NigComSat-1R,China,Nigeria,Commercial,Communications,LEO,"5,150",12/17/11,Xichang Satellite Launch Center,"4 C-band, 14 Ku-band, 8 Ka-band, 2 L-band. Footprint centered on African continent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziyuan 1-02C,China,China,Government,Earth Observation,LEO,"1,500",12/22/11,Taiyuan Launch Center,"Can acquire high-resolution data through remote-sensing; can conduct land resources surveys, reduce natural disasters, aid agriculture development and manage water resources. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M080 (Globalstar 80, Globalstar 2-14)",France,USA,Commercial,Communications,LEO,700,12/28/11,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M082 (Globalstar 82, Globalstar 2-15)",France,USA,Commercial,Communications,GEO,700,12/28/11,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M084 (Globalstar 84, Globalstar 2-13) ",France,USA,Commercial,Communications,GEO,700,12/28/11,Baikonur Cosmodrome,Continuation of second generation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M086 (Globalstar 86, Globalstar 2-18)",France,USA,Commercial,Communications,GEO,700,12/28/11,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M090 (Globalstar 90, Globalstar 2-17)",France,USA,Commercial,Communications,GEO,700,12/28/11,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Globalstar M092 (Globalstar 92, Globalstar 2-16)",France,USA,Commercial,Communications,LEO,700,12/28/11,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziyuan 3 (ZY-3),China,China,Government,Earth Observation,GEO,"2,650",1/9/12,Taiyuan Launch Center,Land survey satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fengyun 2F (FY-2F),China,China,Government,Earth Observation,Elliptical,"1,390",1/12/12,Xichang Satellite Launch Center,Meteorological; weather forecasting and disaster reduction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wideband Global Satcom 4 (WGS-4, USA 233)",USA,USA,Military,Communications,GEO,"5,990",1/20/12,Cape Canaveral,X and Ka-band transponders. Will replace DSCS system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou G5 (Compass G-11),China,China,Military/Government,Navigation/Global Positioning,LEO,"2,300",2/24/12,Xichang Satellite Launch Center,Part of Beidou constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUOS-1 (Mobile User Objective System 1),USA,USA,Military,Communications,MEO,"6,804",2/24/12,Cape Canaveral,Four primary satellites and one orbiting spare will comprise the MUOS system as it is fielded over the next few years to augment and then replace the Navy's aging Ultra High Frequency spacecraft constellation. Orbital parameters estimated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 22,USA,USA,Commercial,Communications,GEO,"6,199",3/25/12,Baikonur Cosmodrome,"Provide C-band and Ku-band communications services over Africa, Asia, Europe and the Middle East. Intelsat 22 also carries a hosted UHF payload for the Australian Defence Force.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apstar 7,China,China,Commercial,Communications,GEO,"5,054",3/31/12,Xichang Satellite Launch Center,Replacement for Apstar 2R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yahsat-1B (Y1B),United Arab Emirates,United Arab Emirates,Military/Commercial,Communications,LEO,"6,000",4/23/12,Baikonur Cosmodrome,"Second of two identical satellites; Ku, Ka, and C-band transponders. Direct-to-home television programming, secure Ka-band communications for military and government in UAE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISat-1 (Radar Imaging Satellite 1),India,India,Military,Earth Observation,LEO,"1,858",4/25/12,Satish Dhawan Space Centre,The country's first indigenous radar observation satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-12 (Compass M3),China,China,Military/Government,Navigation/Global Positioning,LEO,"2,200",4/28/12,Xichang Satellite Launch Center,Part of Beidou constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-13 (Compass M4),China,China,Military/Government,Navigation/Global Positioning,GEO,"2,200",4/28/12,Xichang Satellite Launch Center,Part of Beidou constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,Military,Communications,MEO,"6,169",5/3/12,Cape Canaveral,Second in constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianhui 1-02,China,China,Government,Earth Observation,MEO,"2,500",5/6/12,Jiuquan Satellite Launch Center,"Cartographic imaging satellite capable of stereoscopic Earth photography, equipped with orbit adjustment engine to maintain height against air drag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinasat 2,NR,Vietnam,Government,Communications,LEO,"2,970",5/15/12,Guiana Space Center,24 ku-band transponders; provide independence in satellite communications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCSat 13 (Japan Communications Satellite 13),Japan,Japan,Commercial,Communications,LEO,"4,500",5/15/12,Guiana Space Center,44 Ku-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horyu-2 (High Voltage Technology Demonstration Satellite-2),Japan,Japan,Civil,Technology Development,MEO,7,5/17/12,Tanegashima Space Center,To test an experimental high-voltage solar array system and observe spacecraft charging effects caused by it; also provide ground communication for junior/senor high school students as amateur radio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDS-4 (Small Demonstration Satellite-4),Japan,Japan,Government,Technology Development,MEO,50,5/17/12,Tanegashima Space Center,Several technology demonstration experiments and including an experiment to monitor AIS (Automatic Information System) messages transmitted from ships at sea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",South Korea,South Korea,Government/Commercial,Earth Observation,MEO,980,5/17/12,Tanegashima Space Center,"Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary/strategic imaging role.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",Japan,USA/Japan,Government,Earth Observation,LEO,"1,900",5/17/12,Tanegashima Space Center,First of a series of satellites to study water circulation systems in the Earth's atmosphere; July 2012 took up lead position in A-Train.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nimiq 6,NR,Canada,Commercial,Communications,LEO,"4,745",5/18/12,Baikonur Cosmodrome,Entirely contracted to Bell TV for 15 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 2A (Chinasat 2A),China,China,Military/Government,Communications,LEO,"5,200",5/26/12,Xichang Satellite Launch Center,Operated by the Army and their aim is to provide secured voice and data communications services for ground users using Ku-band.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 15 (Remote Sensing Satellite 15),China,China,Military,Earth Observation,GEO,"1,040",5/29/12,Taiyuan Launch Center, Optical  imaging  satellites with medium resolution (3 to  10 m) capabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 19 (IS-19),USA,USA,Commercial,Communications,LEO,"5,600",6/1/12,Sea Launch Odyssey,Replacement for Intelsat 8. Damage to a solar panel; reduced power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NuSTAR (Nuclear Spectroscopic Telescope Array),USA,USA,Government,Space Science,GEO,360,6/13/12,Kwajalein Island,Read more at http://spaceflight101.com/long-march-4b-launches-hxmt-space-telescope/#AdEp4bOgoXGMgbtu.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,Military,Earth Observation,GEO,"5,000",6/29/12,Cape Canaveral,ELINT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meteosat 10 (MSGalaxy-3,MSG 3)",EUMETSAT,Multinational,Government/Civil,Earth Observation,LEO,"2,000",7/5/12,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 17,USA,USA,Commercial,Communications,LEO,"6,100",7/5/12,Guiana Space Center,All ka-band communications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SES-5 (Sirius 5, Astra 4B)",United Kingdom,USA,Commercial,Communications,LEO,"6,007",7/9/12,Baikonur Cosmodrome,24 C-band transponders and 36 Ku-band transponders. Also carries hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exactView 1,Canada,Canada,Commercial,Communications,LEO,100,7/22/12,Baikonur Cosmodrome,"Automatic Identification System (AIS) satellite; real-time data on the locations, speeds and routes of vessels throughout the world’s oceans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TET-1 (Technologieerprobungsträger 1, Technology Experiment Carrier)",Germany,Germany,Commercial,Technology Development,LEO,120,7/22/12,Baikonur Cosmodrome,"Center of the OOV (On Orbit Verification) Program, initiated to offer on-orbit verification possibilities to the German industrial and scientific aerospace community.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKA 2 (BelKA 2),Belarus,Belarus,Government,Earth Observation,GEO,400,7/22/12,Baikonur Cosmodrome,Analog of Canopus-B. Supplies information to various government agencies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanopus-B (Kanopus Vulcan 1) ,Russia,Russia,Government,Earth Observation,LEO,400,7/22/12,Baikonur Cosmodrome,Will provide users with operational hydro-meteorological information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TianLian 3 (TL-1-03, CTDRS)",China,China,Government,Communications,LEO,"2,200",7/25/12,Xichang Satellite Launch Center,Data relay satellite. Will cover Shenzhou missions and China's space station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-03,Russia,Russia,Commercial/Government,Communications,LEO,270,7/28/12,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonets M-04,Russia,Russia,Commercial/Government,Communications,LEO,270,7/28/12,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2481, Strela 3M)",Russia,Russia,Military,Communications,LEO,280,7/28/12,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAS 2 (Highly Adaptable Satellite),United Kingdom,United Kingdom,Commercial,Communications,LEO,"3,311",8/2/12,Guiana Space Center,"24 fixed beams and one steerable beam, pioneering Ka-band technology. High speed data capacity across southern and Eastern Africa, the Middle East and the Caucasus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 20 (IS-20),USA,USA,Commercial,Communications,LEO,"6,094",8/2/12,Guiana Space Center,"Replacement for Intelsat 7 and Intelsat 10. C-band and Ku-band for DTH television, cellularbackhaul and VSAT services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 21 (IS-21),USA,USA,Commercial,Communications,LEO,"5,984",8/19/12,Sea Launch Odyssey,"Will replace Intelsat 9 - Meet needs of key customers SKY Mexico, Turner, Discovery, Fox, Telespazio, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Van Allen Probe A (RBSP-A, Radiation Belt Storm Probes)",USA,USA,Government,Earth Observation,LEO,648,8/30/12,Cape Canaveral,Study the Earth's radiation belts on various scales of space and time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Van Allen Probe B (RBSP-B, Radiation Belt Storm Probes)",USA,USA,Government,Earth Observation,LEO,666,8/30/12,Cape Canaveral,Study the Earth's radiation belts on various scales of space and time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot 6 (Système Probatoire d’Observation de la Terre),France,France/Belgium/Sweden,Commercial,Earth Observation,GEO,720,9/9/12,Satish Dhawan Space Centre,Privately financed to complement the Pleiades 1A and 1B imaging spacecraft owned by French government.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeneas,USA,USA,Government,Technology Development,GEO,3,9/13/12,Vandenberg AFB,Demonsration program to track cargo containers worldwide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMDC-ONE 1.2 (ORSES [Operationally Responsive Space Enabler Satellite]),USA,USA,Military,Technology Development,GEO,3,9/13/12,Vandenberg AFB,Mission unknown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",USA,USA,Civil,Space Science,GEO,3,9/13/12,Vandenberg AFB,Study of space weather effects in near-Earth space.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5A,USA,USA,Commercial,Technology Development,GEO,5,9/13/12,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5B,USA,USA,Commercial,Technology Development,GEO,5,9/13/12,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMDC-ONE 1.1 (Techsat),USA,USA,Military,Technology Development,GEO,5,9/13/12,Vandenberg AFB,Technology experiments under the STP (Space Test Program).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",USA,USA,Military,Earth Observation,LEO,"6,500",9/13/12,Vandenberg AFB,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-6 (Space Based Wide Area Surveillance System) NOSS 3-6, USA 238, NRO L36, Intruder)",USA,USA,Military,Earth Observation,GEO,"6,500",9/13/12,Vandenberg AFB,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetOp-B (Meteorological Operational satellite),EUMETSAT,Multinational,Government/Civil,Earth Observation,LEO,"4,085",9/17/12,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-14 (Compass M5),China,China,Military/Government,Navigation/Global Positioning,MEO,"3,800",9/18/12,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-15 (Compass M6),China,China,Military/Government,Navigation/Global Positioning,MEO,"3,800",9/18/12,Xichang Satellite Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VRSS-1 (Venezuelan Remote Sensing Satellite, Francisco Miranda)",Venezuela,Venezuela,Government,Earth Observation,GEO,880,9/28/12,Jiuquan Satellite Launch Center,"Sensors can resolve objects 2.5 meters across. Will return 350 images per day for urban planning, monitor illegal mining and drug activities, national defense.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSAT-10,India,India,Government,Communications,LEO,"3,400",9/28/12,Guiana Space Center,Also equipped with GAGAN (GPS Aided GEO Augmented Naviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 2F,Luxembourg,Luxembourg,Commercial,Communications,LEO,"6,000",9/28/12,Guiana Space Center,"Prime position for SES - BBC, ITV, Channel 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"1,630",10/4/12,Cape Canaveral,Will replace 2A-21.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Galileo IOV-2 FM3 (0103, PRN E19)",NR,ESA,Commercial,Navigation/Global Positioning,GEO,700,10/12/12,Guiana Space Center,Operational nucleus of the full 30-satellite constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Galileo IOV-2 FM4 (0104, PRN E20)",NR,ESA,Commercial,Navigation/Global Positioning,LEO,700,10/12/12,Guiana Space Center,Operational nucleus of the full 30-satellite constellation. Partial failure in 2014.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 23,NR,USA,Commercial,Communications,LEO,"3,200",10/14/12,Baikonur Cosmodrome,"15 Ku-band, 24 C-band. Americas, Caribbean, Western Europe, Africa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou 2-16 (Compass G-6),China,China,Military/Government,Navigation/Global Positioning,LEO,"3,800",10/25/12,Xichang Satellite Launch Center,"Part of Beidou constellation, now operational.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luch 5B,Russia,Russia,Government,Communications,LEO,"1,282",11/2/12,Baikonur Cosmodrome,"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamal-300K,Russia,Russia,Commercial,Communications,GEO,"1,640",11/2/12,Baikonur Cosmodrome,Telecommunications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star One C3,Brazil,Brazil,Commercial,Communications,GEO,"3,225",11/10/12,Guiana Space Center,"28 C-band, 16 Ku-band, entire South American region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",France,Multinational,Commercial,Communications,LEO,"5,102",11/10/12,Guiana Space Center,"Increased capacity for data, video and government services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian-6 (Meridian 16L),Russia,Russia,Military,Communications,GEO,"2,500",11/14/12,Plesetsk Cosmodrome,Military communications - designed to replace Molniya and Parus spacecraft; this is the sixth of the series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-1C (Huan Jing 1C),China,China,Government,Earth Observation,LEO,890,11/18/12,Taiyuan Launch Center,Monitors environment and natural disasters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fengniao 1A (Hummingbird 1A),NR,China,Government,Technology Development,GEO,160,11/20/12,Taiyuan Launch Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 16,USA,USA,Commercial,Communications,GEO,"6,658",11/20/12,Baikonur Cosmodrome,Direct-to-home over CONUS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhongxing 12 (Chinasat 12, SupremeSat-1, Apstar 7B, ZX-12)",China/Sri Lanka,China,Government,Communications,GEO,"5,500",11/27/12,Xichang Satellite Launch Center,"Part of the satellite’s communications payload has been leased to Sri Lanka, co-branded as SupremeSat-I.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pléiades HR1B,France,France,Government,Earth Observation,GEO,970,12/2/12,Guiana Space Center,Both government and military.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 70B (Eutelsat W5A),France,Multinational,Commercial,Communications,GEO,"5,250",12/3/12,Sea Launch Odyssey,Replaced Eutelsat 70A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamal-402,Russia,Russia,Commercial,Communications,LEO,"4,463",12/8/12,Baikonur Cosmodrome,Left in low orbit; raised itself with fuel. Shortened on-orbit life to approximately 11 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Göktürk 2,NR,Turkey,Military,Earth Observation,LEO,409,12/18/12,Jiuquan Satellite Launch Center,High resolution earth observation. Second and third in production.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexsat-3 (Mexsat Bicentenario),Mexico,Mexico,Government/Military,Communications,LEO,"2,900",12/19/12,Guiana Space Center,Start of 3-satellite constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skynet 5D,United Kingdom,United Kingdom,Military,Communications,LEO,"4,638",12/19/12,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2482, Strela 3M)",Russia,Russia,Military,Communications,GEO,250,1/15/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2483, Strela 3M)",Russia,Russia,Military,Communications,LEO,250,1/15/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2484, Strela 3M)",Russia,Russia,Military,Communications,LEO,250,1/15/13,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IGS-8A (Information Gathering Satellite 8A, IGS Radar 4)",Japan,Japan,Government,Earth Observation,LEO,"1,600",1/27/13,Tanegashima Space Center,Radar reconnaissance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IGS-8B (Information Gathering Satellite 8B, IGS Optical 5 Demonstrator)",Japan,Japan,Government,Earth Observation,GEO,"1,600",1/27/13,Tanegashima Space Center,Optical demonstration satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STSat-2C,South Korea,South Korea,Government,Technology Development,GEO,93,1/30/13,Naro Space Center,Demonstration satellite for solar observation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-11 (Tracking and Data Relay Satellite, TDRS K)",USA,USA,Government,Communications,GEO,"3,454",1/31/13,Cape Canaveral,New generation of tracking and commmunication satellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
