Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP 18 (USA 130) (Defense Support Program),USA,USA,Military,Earth Observation,GEO,"2,380",2/23/97,Cape Canaveral,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,USA,Military,Earth Observation,GEO,"1,134",4/4/97,Vandenberg AFB,Near-polar orbits; investigate Earth's environment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 5 (Iridium SV005),USA,USA,Government/Commercial,Communications,GEO,689,5/5/97,Vandenberg AFB,"According to Rod Sladen, the only person who tracks the Iridium system, Iridium 51 may have replaced Iridium 5, but its not certain at this time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 7 (Iridium SV007),USA,USA,Government/Commercial,Communications,LEO,689,5/5/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 8 (Iridium SV008),USA,USA,Government/Commercial,Communications,LEO,689,5/5/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 6 (Iridium SV006),USA,USA,Government/Commercial,Communications,LEO,689,5/6/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,USA,Commercial,Communications,LEO,"3,515",5/24/97,Baikonur Cosmodrome,"24 C-band, 28 Ku-band; U.S., southern Canada, Mexico, Caribbean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 10 (Iridium SV010),USA,USA,Government/Commercial,Communications,LEO,689,6/18/97,Baikonur Cosmodrome,"66 satellite constellation with 13 spares; 15-20 ground stations with master control complex in Landsdowne, VA; backup in Italy, third engineering center in Chandler, AZ; Filed for Chapter 11 in 2000; started to let system deorbit. Iridium Satellite LLC purchased assets of Iridium LLC. DoD stepped in-- renewable DoD contract; unlimited airtime to 20,000 govt. workers; mobile voice, data and paging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 12 (Iridium SV012),USA,USA,Government/Commercial,Communications,GEO,689,6/18/97,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 13 (Iridium SV013),USA,USA,Government/Commercial,Communications,LEO,689,6/18/97,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 15 (Iridium SV015),USA,USA,Government/Commercial,Communications,LEO,689,7/9/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridium 18 (Iridium SV018),USA,USA,Government/Commercial,Communications,LEO,689,7/9/97,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
